item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q105085469,Secilil Eldebechel,,,,,,false,,,,
Q107481428,Yositaka Adachi,,,,,,false,,,,
Q107490033,Franco Gibbons,,,,,,false,,,,
Q107490046,John C. Gibbons,,,,,,false,,,,
Q107845064,Francis Matsutaro,,,,,,false,,,,
Q108454845,Sabino Anastacio,,,,,,false,,,,
Q113581829,Gustav Aitaro,,,,,,false,,,,
Q114457457,Eyos Rudimch,,,,,,false,,,,
Q114457504,Seit Andres,,,,,,false,,,,
Q114457510,Augustine Mesebeluu,,,,,,false,,,,
Q114457511,Ignacio Anastacio,,,,,,false,,,,
Q114457512,Mario S. Gulibert,,,,,,false,,,,
Q114457563,Charles Obichang,,,,,,false,,,,
Q114457574,Kaleb Udui Jr,,,,,,false,,,,
Q114457578,Dale Jenkins,,,,,,false,,,,
Q114457585,Gaafar Uherbelau,,,,,,false,,,,
Q114457595,Ngirai Tmetuchl,,,,,,false,,,,
Q114457601,Steven Victor,,,,,,false,,,,
Q15260928,Hersey Kyota,NormalRank,Q695,Palau,true,false,true,false,false,true,true
Q19560062,Antonio Bells,NormalRank,Q695,Palau,true,false,true,false,false,true,true
Q20038862,Minoru Ueki,,,,,,false,,,,
Q240644,Mlib Tmetuchl,NormalRank,Q695,Palau,true,false,true,false,false,false,true
Q26703072,Surangel Whipps Jr.,NormalRank,Q5092,Baltimore,true,true,true,false,true,false,false
Q30246749,Raynold Oilouch,NormalRank,Q695,Palau,true,false,true,false,false,true,true
Q3195401,Kerai Mariur,NormalRank,Q7088287,Ollei,true,false,false,,,,
Q336285,Tommy Remengesau,NormalRank,Q527748,Koror,true,true,true,false,false,false,true
Q42705716,Jerrlyn Uduch Sengebau Senior,NormalRank,Q189426,Koror,true,true,true,false,false,true,true
Q45714891,Temmy Shmull,NormalRank,Q497981,Peleliu,true,true,true,false,false,true,true
Q47516046,Faustina K. Rehuher,,,,,,false,,,,
Q5878180,Hokkons Baules,,,,,,false,,,,
Q6267566,Johnny Reklai,,,,,,false,,,,
Q6289980,Joshua Koshiba,NormalRank,Q497981,Peleliu,true,true,false,,,,
Q7045406,Noah Idechong,,,,,,false,,,,
Q718150,Kuniwo Nakamura,NormalRank,Q497981,Peleliu,true,true,true,false,false,true,true
Q7645397,Surangel S. Whipps,NormalRank,Q407967,Airai,true,true,true,false,false,true,true
Q982581,Elias Camsek Chin,NormalRank,Q497981,Peleliu,true,true,true,false,false,false,true
Q57471,Johnson Toribiong,NormalRank,Q407967,Airai,true,true,true,false,false,false,true
Q58080,Sandra Pierantozzi,NormalRank,Q189426,Koror,true,true,true,false,false,false,true
